timestamp,consent,birthplace,address,gender,parent_age,education,occupation,parent1_L1,eng_und,eng_spk,eng_read,eng_write,fr_und,fr_spk,fr_read,fr_write,parent1_OL1,ol1_und,ol1_spk,ol1_read,ol1_write,parent1_OL2,ol2_und,ol2_spk,ol2_read,ol2_write,parent1_OL3,ol3_und,ol3_spk,ol3_read,ol3_write,child_dob,child_sex,langdevissue_yn,langdevissue_details,family_config,oldersib_yn,sib1_dob,sib2_dob,sib3_dob,sibX_dobs,child_languages,eng_freq,fr_freq,ol1_used,ol1_freq,ol2_used,ol2_freq,ol3_used,ol3_freq,between_caregivers,caregiver2_used,view_betterlearner,view_reasoning,view_schoolsuccess,view_heritage,view_employment,view_better_lang_learning,view_comm_family,view_compete_jobs,view_full_comm_member,view_success_workworld,view_flex_think,view_belong_social,concern_general,concern_exposure,concern_help,concern_challenging,concern_confused,concern_distinguish,concern_shrt_delay,concern_lng_prob,concern_prep_school,concern_fluent,id,clean_dobs
2020/09/01 8:21:50 pm CET,I agree,In Quebec,Beaconsfield,Female,44,Master’s degree (or equivalent),Social worker,French,5,5,5,5,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-14,Female,No,NA,With a partner who lives in the same household,Yes,Aug-10,Nov-11,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,English;French,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,1,1,1,1,1,1,1,eng_12,11/1/2014
2020/09/01 8:21:58 pm CET,I agree,In Quebec,Montreal,Female,33,Master’s degree (or equivalent),Musician,English,5,5,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-18,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,5,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,1,1,1,1,1,eng_13,4/1/2018
2020/09/01 8:26:44 pm CET,I agree,In Quebec,Cote saint luc,Female,36,Bachelor’s degree (or equivalent),Product development director,English,5,5,5,5,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-17,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One language other than English or French,5,3,Spanish,3,NA,NA,NA,NA,English,English;One language other than English or French,5,4,5,5,4,3,5,5,5,4,1,5,1,4,4,1,1,1,1,1,1,1,eng_14,9/1/2017
2020/09/01 8:28:20 pm CET,I agree,In Quebec,Montreal,Female,30,Doctoral degree (PhD or MD),Family physician,Spanish;Portuguese,5,5,5,5,5,5,5,5,Spanish,5,4,3,3,Portuguese,5,4,4,3,NA,NA,NA,NA,NA,Oct-17,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;Several languages other than English or French,2,2,Spanish,4,Portuguese,2,NA,NA,English,English,5,4,5,5,4,5,5,4,5,5,4,4,1,4,3,1,2,1,2,1,1,4,eng_15,10/1/2017
2020/09/01 8:28:27 pm CET,I agree,Outside of Canada,Pointe-Claire,Female,35,Master’s degree (or equivalent),Primary school teacher,Russian,5,4,4,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-17,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One language other than English or French,1,1,German,5,NA,NA,NA,NA,English,French,4,4,4,5,5,4,5,5,5,5,5,5,1,3,1,1,2,2,3,1,1,3,eng_16,10/1/2017
2020/09/01 8:28:47 pm CET,I agree,Outside of Quebec but in Canada,Montreal,Female,33,Master’s degree (or equivalent),"Associate Director, Digital Communications, McGill",English,5,5,5,5,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-18,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,5,5,NA,NA,NA,NA,NA,NA,English;French,French,5,4,4,5,5,3,5,5,5,5,3,5,3,4,4,1,2,2,2,1,1,1,eng_17,1/1/2018
2020/09/01 8:29:02 pm CET,I agree,Outside of Quebec but in Canada,Montreal,Male,41,Bachelor’s degree (or equivalent),Solutions Engineer,English,5,5,5,5,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-14,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,4,2,NA,NA,NA,NA,NA,NA,English;French,English;French,5,4,5,2,4,5,5,4,3,4,5,3,1,2,2,1,1,1,2,1,2,1,eng_18,1/1/2014
2020/09/01 8:30:12 pm CET,I agree,Outside of Canada,Montreal,Female,35,Bachelor’s degree (or equivalent),Lab technician,Cantonese,5,5,5,5,5,5,5,5,Cantonese chinese,5,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-19,Male,No,NA,With a partner who lives in the same household,Yes,Dec-16,NA,NA,NA,English;French;One language other than English or French,5,5,Cantonese,3,NA,NA,NA,NA,English;French,English;French,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,1,1,4,1,4,3,eng_19,10/1/2019
2020/09/01 8:30:46 pm CET,I agree,Outside of Canada,Montreal,Female,38,Doctoral degree (PhD or MD),University professor,French,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-19,Female,No,NA,With a partner who lives in the same household,Yes,May-04,Nov-10,Nov-12,May-16,English;French;One language other than English or French,2,4,German,2,NA,NA,NA,NA,English;French;One language other than English or French,English;One language other than English or French,4,4,4,5,5,5,5,5,5,5,5,5,1,3,1,1,1,1,1,1,1,2,eng_20,1/1/2019
2020/09/01 8:34:56 pm CET,I agree,In Quebec,verdun,Male,35,Bachelor’s degree (or equivalent),human resources recruiter,English,5,5,5,5,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-17,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,4,4,NA,NA,NA,NA,NA,NA,English;French,English;French,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,eng_21,9/1/2017
2020/09/01 8:39:42 pm CET,I agree,In Quebec,Montreal-West,Female,37,Bachelor’s degree (or equivalent),IT Consultant,Mandarin,5,5,5,5,5,4,5,5,Mandarin Chinese,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-17,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One language other than English or French,5,1,Mandarin,4,NA,NA,NA,NA,English,English,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,1,1,1,1,1,1,1,eng_22,7/1/2017
2020/09/01 8:40:15 pm CET,I agree,Outside of Canada,LaSalle,Female,30,Master’s degree (or equivalent),Instructional designer,English,4,5,5,5,2,2,2,1,German,4,3,4,1,Spanish,5,4,4,2,NA,NA,NA,NA,NA,Apr-18,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One language other than English or French,5,1,Spanish,2,German,1,NA,NA,English,One language other than English or French,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,1,4,4,eng_23,4/1/2018
2020/09/01 8:48:09 pm CET,I agree,In Quebec,Montreal,Female,37,Cegep or DEP (or equivalent),Stay at home mom,French ; English,5,5,5,5,5,5,5,4,Italian,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/29/2017,Female,No,NA,With a partner who lives in the same household,Yes,Aug-15,NA,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,English,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,2,1,2,1,1,1,eng_24,6/1/2017
2020/09/01 8:50:11 pm CET,I agree,Outside of Canada,Montreal,Female,40,Bachelor’s degree (or equivalent),"General manager, software company",English,5,5,5,5,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-17,Female,No,NA,With a partner who lives in the same household,Yes,Jul-15,NA,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,English;One language other than English or French,5,5,4,4,5,5,3,4,3,5,5,3,1,2,4,1,1,1,1,1,1,3,eng_25,9/1/2017
2020/09/01 8:55:43 pm CET,I agree,Outside of Quebec but in Canada,Montreal Island,Female,39,Bachelor’s degree (or equivalent),Library technician,English,5,5,5,5,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-18,Male,No,NA,With a partner who lives in the same household,Yes,Jun-15,NA,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,English;One language other than English or French,3,3,5,5,5,5,1,5,5,5,3,5,1,1,1,1,1,1,1,1,1,1,eng_26,4/1/2018
2020/09/01 8:56:17 pm CET,I agree,In Quebec,Lachine,Female,28,High school (or equivalent),Student,"English, french",5,5,5,5,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-17,Female,No,NA,Alone,Yes,May-16,NA,NA,NA,English;French,5,3,NA,NA,NA,NA,NA,NA,English;French,English;French,4,4,4,3,5,5,5,5,3,5,4,4,3,3,2,2,2,2,2,2,1,1,eng_27,6/1/2017
2020/09/01 9:14:28 pm CET,I agree,In Quebec,Dorval,Female,36,Master’s degree (or equivalent),Mother and personal trainer,French,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-18,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,4,1,1,1,eng_28,7/1/2018
2020/09/01 9:14:50 pm CET,I agree,In Quebec,Sherbrooke,Female,33,Bachelor’s degree (or equivalent),Daycare educator,English,5,5,5,5,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-15,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,4,3,NA,NA,NA,NA,NA,NA,English;French,English;French,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,1,1,1,1,1,1,1,eng_29,4/1/2015
2020/09/01 9:14:54 pm CET,I agree,Outside of Canada,Montreal,Female,41,Master’s degree (or equivalent),CEO,English; French,5,5,5,5,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-17,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,5,5,NA,NA,NA,NA,NA,NA,English;French,English;French,4,4,3,5,5,5,5,5,2,3,5,4,4,5,5,2,1,2,3,1,2,2,eng_30,1/1/2017
2020/09/01 9:19:13 pm CET,I agree,In Quebec,Dorval,Female,38,Bachelor’s degree (or equivalent),teacher,English,5,5,5,5,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-17,Female,No,NA,With a partner who lives in the same household,Yes,Oct-14,NA,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,English,5,3,5,5,5,4,2,5,5,5,4,5,1,1,1,1,1,1,2,1,1,1,eng_31,1/1/2017
2020/09/01 9:30:46 pm CET,I agree,Outside of Canada,Montreal,Female,32,High school (or equivalent),Shipping assitant,English,5,5,5,5,3,2,3,2,English,5,5,5,5,French,3,2,3,2,NA,NA,NA,NA,NA,Jun-19,Female,No,NA,With a partner who lives in the same household,Yes,Apr-05,NA,NA,NA,English,5,3,NA,NA,NA,NA,NA,NA,English,English,3,3,4,2,4,4,3,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,eng_32,6/1/2019
2020/09/01 9:40:56 pm CET,I agree,Outside of Canada,Baie D’Urfe,Female,40,Bachelor’s degree (or equivalent),Director of sales,English,5,5,5,5,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-15,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English,5,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,1,eng_33,11/1/2015
2020/09/01 9:45:53 pm CET,I agree,Outside of Canada,Dollard-des-ormeaux,Female,31,Bachelor’s degree (or equivalent),flight attendant,Croatian,5,5,5,4,5,4,5,4,Croatian,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-18,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One language other than English or French,2,3,Croatian,5,NA,NA,NA,NA,English;French,English;French,5,5,4,5,5,5,5,4,5,4,5,5,2,3,2,2,3,2,3,1,1,1,eng_34,9/1/2018
2020/09/01 9:47:34 pm CET,I agree,Outside of Canada,Montreal,Female,33,Master’s degree (or equivalent),student,Mandarin Chinese,5,4,5,4,2,1,2,1,Mandarin Chinese,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jul-18,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One language other than English or French,3,1,Mandarin Chinese,5,NA,NA,NA,NA,One language other than English or French,English;One language other than English or French,5,5,5,5,5,5,1,5,5,5,5,5,1,4,5,1,1,1,1,1,1,1,eng_35,7/1/2018
2020/09/01 9:51:14 pm CET,I agree,In Quebec,Montreal,Female,34,Trade,Real estate agent,English,5,5,5,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-18,Female,No,NA,With a partner who lives in the same household,Yes,May-16,NA,NA,NA,English;French,5,1,NA,NA,NA,NA,NA,NA,English,French,5,5,5,3,5,5,5,5,3,5,3,4,1,1,2,1,1,1,1,1,2,1,eng_36,4/1/2018
2020/09/01 10:28:18 pm CET,I agree,Outside of Quebec but in Canada,Lachine,Female,31,Cegep or DEP (or equivalent),Pharmacy technician,English,5,5,5,5,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-18,Female,No,NA,With a partner who lives in the same household,Yes,Oct-16,NA,NA,NA,English,5,2,NA,NA,NA,NA,NA,NA,English,English,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,1,1,eng_37,11/1/2018
2020/09/01 10:34:22 pm CET,I agree,Outside of Canada,Blainville,Male,39,Master’s degree (or equivalent),Employed,Arabic,5,5,5,5,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-17,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One language other than English or French,3,3,Arabic,5,English,3,French,3,English;French;One language other than English or French,English;French;One language other than English or French,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,eng_38,9/1/2017
2020/09/01 10:49:16 pm CET,I agree,In Quebec,Montreal,Female,32,Bachelor’s degree (or equivalent),Nurse,English,5,5,5,5,5,4,4,3,Italian,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-18,Female,No,NA,With a partner who lives in the same household,Yes,Feb-15,Aug-16,NA,NA,English;French;One language other than English or French,5,4,Italian,2,NA,NA,NA,NA,English;French,English;French,4,3,4,4,4,5,5,5,4,5,3,4,1,3,2,1,1,1,1,1,1,1,eng_39,5/1/2018
2020/09/01 11:15:29 pm CET,I agree,Outside of Canada,Montreal,Female,30,Bachelor’s degree (or equivalent),Dental student,English and Tamil,5,5,5,5,1,2,3,1,Tamil,5,5,4,1,English,5,5,5,5,NA,NA,NA,NA,NA,Oct-19,Male,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One language other than English or French,5,1,Tamil,5,NA,NA,NA,NA,English;One language other than English or French,English;One language other than English or French,5,2,3,5,5,4,5,5,5,5,3,5,1,1,3,1,1,1,1,1,1,1,eng_40,10/1/2019
2020/09/01 11:42:28 pm CET,I agree,Outside of Canada,Montreal,Female,42,Master’s degree (or equivalent),Librarian,English,5,5,5,5,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jan-19,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;One language other than English or French,5,1,Italian,2,NA,NA,NA,NA,English;One language other than English or French,English;One language other than English or French,4,4,4,5,4,5,5,4,3,4,4,4,2,4,2,2,3,1,2,1,1,2,eng_41,1/1/2019
2020/09/02 12:05:39 am CET,I agree,Outside of Canada,Pointe-Claire,Female,45,Bachelor’s degree (or equivalent),Specialized Educator,English,5,5,5,5,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-16,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,5,2,NA,NA,NA,NA,NA,NA,English,French,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,1,1,1,1,1,1,1,eng_42,9/1/2016
2020/09/02 12:13:24 am CET,I agree,Outside of Quebec but in Canada,Montréal,Female,41,Master’s degree (or equivalent),Translator,"French, English",5,5,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-17,Male,No,NA,With a partner who lives in the same household,Yes,Jul-14,NA,NA,NA,English;French,2,5,NA,NA,NA,NA,NA,NA,English,English,5,3,5,4,5,5,5,5,5,5,5,4,5,3,2,1,1,1,1,1,1,3,eng_43,10/1/2017
2020/09/02 12:14:28 am CET,I agree,In Quebec,Dorval,Female,33,Master’s degree (or equivalent),College instructor,English,5,5,5,5,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-18,Male,No,NA,With a partner who lives in the same household,Yes,Aug-16,NA,NA,NA,English;French,3,3,NA,NA,NA,NA,NA,NA,English,English;French,5,5,5,4,5,5,5,5,5,5,5,5,1,3,4,1,2,3,2,1,1,2,eng_44,4/1/2018
2020/09/02 12:37:24 am CET,I agree,Outside of Canada,Montreal,Female,40,Doctoral degree (PhD or MD),Professor,English,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-17,Female,NA,NA,With a partner who lives in the same household,Yes,Jan-13,NA,NA,NA,English;French,3,3,NA,NA,NA,NA,NA,NA,English;French,English;French,4,4,3,5,4,4,5,4,4,4,5,5,1,1,1,1,1,1,2,1,1,1,eng_45,10/1/2017
2020/09/02 12:54:51 am CET,I agree,Outside of Canada,Montreal,Female,38,Bachelor’s degree (or equivalent),Financial Advisor,spanish & english,5,5,5,5,4,4,3,2,Spanish,5,5,5,5,English,5,5,5,5,French,4,4,3,2,Oct-19,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French;One language other than English or French,1,1,Spanish,5,English,2,French,1,English,English,5,5,5,NA,5,3,5,5,5,5,5,5,1,5,4,1,1,2,1,1,1,1,eng_46,10/1/2019
2020/09/02 12:57:03 am CET,I agree,In Quebec,Montreal,Female,34,Bachelor’s degree (or equivalent),Lactation Consultant,"Cantonese, English, French",5,5,5,4,5,5,5,4,Cantonese,5,5,4,2,French,5,5,5,4,English,5,5,5,4,Dec-17,Male,No,NA,With a partner who lives in the same household,Yes,Jul-16,NA,NA,NA,English;French;One language other than English or French,1,1,NA,NA,NA,NA,NA,NA,English;French;One language other than English or French,One language other than English or French,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,eng_47,12/1/2017
2020/09/02 12:59:04 am CET,I agree,In Quebec,Qc city,Female,35,Bachelor’s degree (or equivalent),Engineer,French,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feb-18,Male,No,NA,With a partner who lives in the same household,Yes,Jul-15,NA,NA,Feb-21,English;French,5,5,NA,NA,NA,NA,NA,NA,English,English,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,1,2,1,1,2,eng_48,2/1/2018
2020/09/02 1:06:38 am CET,I agree,Outside of Quebec but in Canada,Quebec city,Female,42,Doctoral degree (PhD or MD),University Professor,French; english,5,5,5,5,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-19,Female,No,NA,With a partner who lives in the same household,Yes,Jan-19,NA,NA,NA,English;French,5,3,NA,NA,NA,NA,NA,NA,English,English,4,4,5,5,5,5,5,5,3,5,5,5,1,1,1,1,1,1,1,1,1,3,eng_50,3/1/2019
2020/09/02 1:12:23 am CET,I agree,Outside of Canada,Quebec,Male,38,Master’s degree (or equivalent),Biologist,English; French; Irish; German,5,5,5,5,4,4,4,4,Irish,3,3,3,3,German,1,1,1,1,NA,NA,NA,NA,NA,Jan-18,Female,No,NA,With a partner who lives in the same household,No,NA,NA,NA,NA,English;French,3,4,Irish,2,NA,NA,NA,NA,English;French,English;French,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,1,1,1,1,1,1,1,eng_51,1/1/2018
